draw	rho	phi	sigma_eps	loglik
1	0.899772590715761	4.96216051350907	0.999834719765004	-4874.17425891736
2	0.899486195350159	5.00352876068335	0.999886702328925	-4873.57044130822
3	0.89945407778567	5.0365195673354	0.999901371644396	-4873.20854581662
4	0.89950707640491	4.94735684437469	0.999886558014347	-4874.62199308411
5	0.899742472302165	4.94735684437469	1.00016023142357	-4874.51271151101
6	0.899852184217896	4.95301201266371	1.00003354483428	-4874.34861817422
7	0.899832668312987	5.01121314676411	1.00009107762658	-4873.37077567909
8	0.899889158193613	5.05492849934965	1.00016684317758	-4873.00710145381
9	0.899879171819707	5.04873561622641	0.999838055401433	-4873.03942771534
10	0.900015385537357	5.11560871682085	0.999867816015844	-4873.083368013
11	0.900031087212147	5.0954605032633	0.999776470130764	-4872.98698172116
12	0.900214266426863	5.0954605032633	0.999866163351277	-4872.97780719541
13	0.899994788062388	5.13372786564855	0.999872757460935	-4873.23224664126
14	0.900131732484199	5.13372786564855	0.99989824872384	-4873.24290280485
15	0.900220244640703	5.11436695826356	0.999885405412499	-4873.08119869478
16	0.900145529051164	5.12084442497789	0.999755418373852	-4873.13126658213
17	0.900159998568282	5.08083314331605	0.99988199407452	-4872.94710633146
18	0.900389769241442	5.07580083523794	0.999833404803447	-4872.92472725285
19	0.900454495916258	5.04320475715168	0.999726956444456	-4872.98163217072
20	0.900566733394306	5.07015576945532	0.999786311354433	-4872.91633143843
21	0.900669042691376	5.0603006279309	0.999806368723487	-4872.90640187223
22	0.900437121306704	5.00512821359254	0.99967028650774	-4873.28458636142
23	0.900492526321869	4.92516617732041	0.999641999262893	-4874.69853475841
24	0.900434739136926	4.90236984385304	0.999644789520664	-4875.34744694604
25	0.900581378028989	4.90395610633116	0.999643736809371	-4875.21389082161
26	0.900495893431742	4.89488660855322	0.999604290221625	-4875.53782863345
27	0.900393317820561	4.86787679470407	0.99975006917633	-4876.47686084586
28	0.900525971560193	4.88987205371373	0.999724126316545	-4875.68388721205
29	0.900482595883351	4.902014695394	0.999817306644324	-4875.32670212725
30	0.900475647418069	4.902014695394	0.99982959641244	-4875.32401245532
31	0.900453870001164	4.89728753599395	0.999828054722119	-4875.48261123466
32	0.900364019395624	4.92526571355519	0.999654925941459	-4874.76990892704
33	0.900204329404563	4.92526571355519	0.999499641323907	-4874.8524503574
34	0.90018978838043	4.92526571355519	0.999689449822708	-4874.85869921374
35	0.900028512475264	4.92526571355519	0.999679641308482	-4874.93930706494
36	0.90008513591717	4.98534575910439	0.999749216750733	-4873.65670409222
37	0.900079802345936	5.01415992101496	0.999709537568877	-4873.27457958147
38	0.899888796544806	5.04323964712839	0.99975406449656	-4873.07654342217
39	0.899946055852488	5.02998707513418	0.999819794020897	-4873.15960704664
40	0.899761605720397	5.02998707513418	0.999553717507928	-4873.19382942318
41	0.899761605720397	5.02998707513418	0.999555233622539	-4873.19379744536
42	0.899828476361085	4.98057985865509	0.999683168842643	-4873.81203847487
43	0.899587755934221	4.98057985865509	0.999751741527608	-4873.90664097383
44	0.899605954405221	4.93690023857842	0.999698000100467	-4874.8446588598
45	0.899573625203313	4.93690023857842	0.9995473060306	-4874.84669198903
46	0.899544882780641	4.93690023857842	0.999408146621632	-4874.86377765588
47	0.899695244787056	4.96046489749863	0.999589005232577	-4874.25511462549
48	0.899839664975688	4.88992993163661	0.999540027641879	-4876.0712105514
49	0.899851916284091	4.91586721219266	0.999533476165482	-4875.28847377303
50	0.89963293619753	5.0145292604883	0.999652865107488	-4873.39356877604
51	0.899760092733802	5.0618551088861	0.999761171476211	-4873.00863688007
52	0.899792909306394	5.13688889439213	0.999613030089597	-4873.25451357217
53	0.89969595456711	5.07707712813014	0.999574675894945	-4872.98954530419
54	0.899463461534335	5.07707712813014	0.999578551444812	-4873.01187463248
55	0.899601326715841	5.07707712813014	0.999524897540065	-4872.99975813252
56	0.899572257051295	5.06701401531542	0.999455978999284	-4873.02376744446
57	0.89936513557344	5.12815380394616	0.999470994772217	-4873.16287868205
58	0.89917297137809	5.20138495562061	0.999476512039652	-4874.10249407032
59	0.899360110712157	5.1080182327501	0.999631511439132	-4873.04747948706
60	0.899638583588763	5.09424209165816	0.999745267298053	-4872.99887539953
