age	profit_keep_now	value_keep	value_replace	value_function	optimal_policy
1	45	216.560046524524	169.904041871994	216.560046524524	keep
2	35	190.622273916219	169.904041871994	190.622273916219	keep
3	20	172.913637684709	169.904041871994	172.913637684709	keep
4	0	152.913637684709	169.904041871994	169.904041871994	replace
5	-25	127.913637684709	169.904041871994	169.904041871994	replace
6	-55	97.9136376847094	169.904041871994	169.904041871994	replace
7	-90	62.9136376847094	169.904041871994	169.904041871994	replace
8	-130	22.9136376847094	169.904041871994	169.904041871994	replace
9	-175	-22.0863623152906	169.904041871994	169.904041871994	replace
10	-225	-72.0863623152057	169.904041871994	169.904041871994	replace
