observation_date,GDPC1,CPIAUCSL,FEDFUNDS
1947-01-01,2182.681,21.700,
1947-04-01,2176.892,22.010,
1947-07-01,2172.432,22.490,
1947-10-01,2206.452,23.127,
1948-01-01,2239.682,23.617,
1948-04-01,2276.690,23.993,
1948-07-01,2289.770,24.397,
1948-10-01,2292.364,24.173,
1949-01-01,2260.807,23.943,
1949-04-01,2253.128,23.917,
1949-07-01,2276.424,23.717,
1949-10-01,2257.352,23.660,
1950-01-01,2346.104,23.587,
1950-04-01,2417.682,23.767,
1950-07-01,2511.127,24.203,
1950-10-01,2559.214,24.693,
1951-01-01,2593.967,25.697,
1951-04-01,2638.898,25.947,
1951-07-01,2693.259,25.933,
1951-10-01,2699.156,26.317,
1952-01-01,2727.954,26.417,
1952-04-01,2733.800,26.487,
1952-07-01,2753.517,26.667,
1952-10-01,2843.941,26.697,
1953-01-01,2896.811,26.620,
1953-04-01,2919.206,26.720,
1953-07-01,2902.785,26.843,
1953-10-01,2858.845,26.890,
1954-01-01,2845.192,26.953,
1954-04-01,2848.305,26.910,
1954-07-01,2880.482,26.840,1.03
1954-10-01,2936.852,26.757,0.99
1955-01-01,3020.746,26.793,1.34
1955-04-01,3069.910,26.757,1.50
1955-07-01,3111.379,26.777,1.94
1955-10-01,3130.068,26.857,2.36
1956-01-01,3117.922,26.860,2.48
1956-04-01,3143.694,27.037,2.69
1956-07-01,3140.874,27.317,2.81
1956-10-01,3192.570,27.550,2.93
1957-01-01,3213.011,27.777,2.93
1957-04-01,3205.970,28.013,3.00
1957-07-01,3237.386,28.263,3.23
1957-10-01,3203.894,28.400,3.25
1958-01-01,3120.724,28.737,1.86
1958-04-01,3141.224,28.930,0.94
1958-07-01,3213.884,28.913,1.32
1958-10-01,3289.032,28.943,2.16
1959-01-01,3352.129,28.993,2.57
1959-04-01,3427.667,29.043,3.08
1959-07-01,3430.057,29.193,3.58
1959-10-01,3439.832,29.370,3.99
1960-01-01,3517.181,29.397,3.93
1960-04-01,3498.246,29.573,3.70
1960-07-01,3515.385,29.590,2.94
1960-10-01,3470.278,29.780,2.30
1961-01-01,3493.703,29.840,2.00
1961-04-01,3553.021,29.830,1.73
1961-07-01,3621.252,29.947,1.68
1961-10-01,3692.289,29.990,2.40
1962-01-01,3758.147,30.107,2.46
1962-04-01,3792.149,30.220,2.61
1962-07-01,3838.776,30.307,2.85
1962-10-01,3851.421,30.380,2.92
1963-01-01,3893.482,30.477,2.97
1963-04-01,3937.183,30.533,2.96
1963-07-01,4023.755,30.720,3.33
1963-10-01,4050.147,30.803,3.45
1964-01-01,4135.553,30.930,3.46
1964-04-01,4180.592,30.980,3.49
1964-07-01,4245.918,31.050,3.46
1964-10-01,4259.046,31.193,3.58
1965-01-01,4362.111,31.290,3.98
1965-04-01,4417.225,31.490,4.08
1965-07-01,4515.427,31.583,4.08
1965-10-01,4619.458,31.750,4.17
1966-01-01,4731.888,32.047,4.56
1966-04-01,4748.046,32.337,4.91
1966-07-01,4788.254,32.617,5.41
1966-10-01,4827.537,32.883,5.56
1967-01-01,4870.299,32.967,4.82
1967-04-01,4873.287,33.167,3.99
1967-07-01,4919.392,33.500,3.89
1967-10-01,4956.477,33.867,4.17
1968-01-01,5057.553,34.200,4.79
1968-04-01,5142.033,34.533,5.98
1968-07-01,5181.859,35.000,5.95
1968-10-01,5202.212,35.433,5.92
1969-01-01,5283.597,35.867,6.57
1969-04-01,5299.625,36.433,8.33
1969-07-01,5334.600,36.933,8.98
1969-10-01,5308.556,37.500,8.94
1970-01-01,5300.652,38.100,8.57
1970-04-01,5308.164,38.633,7.89
1970-07-01,5357.077,39.033,6.71
1970-10-01,5299.672,39.600,5.57
1971-01-01,5443.619,39.933,3.86
1971-04-01,5473.059,40.300,4.57
1971-07-01,5518.072,40.700,5.48
1971-10-01,5531.032,41.000,4.75
1972-01-01,5632.649,41.333,3.55
1972-04-01,5760.470,41.600,4.30
1972-07-01,5814.854,41.933,4.74
1972-10-01,5912.220,42.367,5.15
1973-01-01,6058.544,43.033,6.54
1973-04-01,6124.506,43.933,7.82
1973-07-01,6092.301,44.800,10.56
1973-10-01,6150.131,45.933,10.00
1974-01-01,6097.258,47.300,9.32
1974-04-01,6111.751,48.567,11.25
1974-07-01,6053.978,49.933,12.09
1974-10-01,6030.464,51.467,9.35
1975-01-01,5957.035,52.567,6.30
1975-04-01,5999.610,53.200,5.42
1975-07-01,6102.326,54.267,6.16
1975-10-01,6184.530,55.267,5.41
1976-01-01,6323.649,55.900,4.83
1976-04-01,6370.025,56.400,5.20
1976-07-01,6404.895,57.300,5.28
1976-10-01,6451.177,58.133,4.87
1977-01-01,6527.703,59.200,4.66
1977-04-01,6654.466,60.233,5.16
1977-07-01,6774.457,61.067,5.82
1977-10-01,6774.592,61.967,6.51
1978-01-01,6796.260,63.033,6.76
1978-04-01,7058.920,64.467,7.28
1978-07-01,7129.915,65.967,8.10
1978-10-01,7225.750,67.500,9.58
1979-01-01,7238.727,69.200,10.07
1979-04-01,7246.454,71.400,10.18
1979-07-01,7300.281,73.700,10.95
1979-10-01,7318.535,76.033,13.58
1980-01-01,7341.557,79.033,15.05
1980-04-01,7190.289,81.700,12.69
1980-07-01,7181.743,83.233,9.84
1980-10-01,7315.677,85.567,15.85
1981-01-01,7459.022,87.933,16.57
1981-04-01,7403.745,89.767,17.78
1981-07-01,7492.405,92.267,17.58
1981-10-01,7410.768,93.767,13.59
1982-01-01,7295.631,94.600,14.23
1982-04-01,7328.912,95.967,14.51
1982-07-01,7300.896,97.633,11.01
