observation_date,GDPC1_PCH,GDPDEF_PCH,TWEXM_PCH,FEDFUNDS
1973-01-01,2.47494,1.15229,,6.54
1973-04-01,1.08874,1.53941,-4.40709,7.82
1973-07-01,-0.52584,1.94490,-2.53024,10.56
1973-10-01,0.94923,1.99278,2.48823,10.00
1974-01-01,-0.85971,1.88719,4.01598,9.32
1974-04-01,0.23770,2.36333,-3.84344,11.25
1974-07-01,-0.94528,2.93190,2.68982,12.09
1974-10-01,-0.38841,2.94152,0.07062,9.35
1975-01-01,-1.21763,2.27316,-2.84902,6.30
1975-04-01,0.71470,1.48544,0.50409,5.42
1975-07-01,1.71204,1.76515,4.05610,6.16
1975-10-01,1.34709,1.67386,1.50288,5.41
1976-01-01,2.24947,1.05659,0.00348,4.83
1976-04-01,0.73337,1.00733,1.11609,5.20
1976-07-01,0.54741,1.29303,-0.57495,5.28
1976-10-01,0.72260,1.79256,0.70061,4.87
1977-01-01,1.18623,1.60758,0.30127,4.66
1977-04-01,1.94192,1.41146,-0.37440,5.16
1977-07-01,1.80316,1.21703,-0.60840,5.82
1977-10-01,0.00199,2.16175,-2.07089,6.51
1978-01-01,0.31984,1.45241,-3.20750,6.76
1978-04-01,3.86477,1.91293,-0.97130,7.28
1978-07-01,1.00575,1.69840,-4.83616,8.10
1978-10-01,1.34413,2.04513,-1.32781,9.58
1979-01-01,0.17959,1.82327,1.21966,10.07
1979-04-01,0.10675,2.44958,1.63095,10.18
1979-07-01,0.74280,2.18686,-1.71375,10.95
1979-10-01,0.25005,1.85545,1.95926,13.58
1980-01-01,0.31457,2.10108,-0.23521,15.05
1980-04-01,-2.06043,2.37888,0.20883,12.69
1980-07-01,-0.11885,2.23365,-3.23051,9.84
1980-10-01,1.86492,2.60472,1.81349,15.85
1981-01-01,1.95942,2.63416,3.14767,16.57
1981-04-01,-0.74108,1.98162,6.00927,17.78
1981-07-01,1.19750,1.88224,5.45557,17.58
1981-10-01,-1.08960,1.72798,-3.10370,13.59
1982-01-01,-1.55364,1.37562,3.48745,14.23
1982-04-01,0.45618,1.29902,3.79321,14.51
