"horizon","variable","shock","share"
0,"y","demand",0.730093687068873
1,"y","demand",0.649723703987416
2,"y","demand",0.645775707252536
3,"y","demand",0.646808416749112
4,"y","demand",0.648047900987978
5,"y","demand",0.649510758072065
6,"y","demand",0.650521902029062
7,"y","demand",0.651320411520136
8,"y","demand",0.651911284825804
9,"y","demand",0.652361594266342
10,"y","demand",0.65270274891768
11,"y","demand",0.652962866498421
12,"y","demand",0.653161276739727
13,"y","demand",0.653312873974023
14,"y","demand",0.653428769898034
15,"y","demand",0.653517424276557
16,"y","demand",0.653585262440348
17,"y","demand",0.653637185469986
18,"y","demand",0.653676934032881
19,"y","demand",0.653707366665725
20,"y","demand",0.65373066896393
21,"y","demand",0.653748512826781
22,"y","demand",0.653762177589459
23,"y","demand",0.653772642434001
24,"y","demand",0.653780656938915
25,"y","demand",0.653786794992594
26,"y","demand",0.653791496015108
27,"y","demand",0.653795096490368
28,"y","demand",0.653797854093733
29,"y","demand",0.65379996615828
30,"y","demand",0.653801583810606
31,"y","demand",0.653802822793146
32,"y","demand",0.653803771750547
33,"y","demand",0.653804498574816
34,"y","demand",0.653805055264304
35,"y","demand",0.653805481644777
36,"y","demand",0.653805808219165
37,"y","demand",0.65380605835006
38,"y","demand",0.653806249931249
39,"y","demand",0.653806396667907
40,"y","demand",0.653806509057104
41,"y","demand",0.653806595138767
42,"y","demand",0.653806661070856
43,"y","demand",0.653806711569894
44,"y","demand",0.653806750248377
45,"y","demand",0.653806779873204
46,"y","demand",0.653806802563608
47,"y","demand",0.653806819942763
48,"y","demand",0.6538068332539
49,"y","demand",0.653806843449238
50,"y","demand",0.653806851258106
0,"y","supply",0.269906312931127
1,"y","supply",0.350276296012584
2,"y","supply",0.354224292747464
3,"y","supply",0.353191583250888
4,"y","supply",0.351952099012022
5,"y","supply",0.350489241927935
6,"y","supply",0.349478097970938
7,"y","supply",0.348679588479864
8,"y","supply",0.348088715174196
9,"y","supply",0.347638405733658
10,"y","supply",0.34729725108232
11,"y","supply",0.347037133501579
12,"y","supply",0.346838723260273
13,"y","supply",0.346687126025977
14,"y","supply",0.346571230101966
15,"y","supply",0.346482575723443
16,"y","supply",0.346414737559652
17,"y","supply",0.346362814530014
18,"y","supply",0.346323065967119
19,"y","supply",0.346292633334275
20,"y","supply",0.34626933103607
21,"y","supply",0.346251487173219
22,"y","supply",0.346237822410541
23,"y","supply",0.346227357565999
24,"y","supply",0.346219343061085
25,"y","supply",0.346213205007406
26,"y","supply",0.346208503984892
27,"y","supply",0.346204903509632
28,"y","supply",0.346202145906267
29,"y","supply",0.34620003384172
30,"y","supply",0.346198416189394
31,"y","supply",0.346197177206854
32,"y","supply",0.346196228249453
33,"y","supply",0.346195501425184
34,"y","supply",0.346194944735696
35,"y","supply",0.346194518355223
36,"y","supply",0.346194191780835
37,"y","supply",0.346193941649939
38,"y","supply",0.346193750068751
39,"y","supply",0.346193603332093
40,"y","supply",0.346193490942896
41,"y","supply",0.346193404861233
42,"y","supply",0.346193338929144
43,"y","supply",0.346193288430106
44,"y","supply",0.346193249751623
45,"y","supply",0.346193220126796
46,"y","supply",0.346193197436392
47,"y","supply",0.346193180057237
48,"y","supply",0.3461931667461
49,"y","supply",0.346193156550762
50,"y","supply",0.346193148741894
0,"z","demand",0.951606960406851
1,"z","demand",0.961244524502451
2,"z","demand",0.947396922069246
3,"z","demand",0.932788749908595
4,"z","demand",0.922185981734135
