"horizon","response","shock","irf"
0,"y","demand",0.00873666284546585
1,"y","demand",0.00757576463188086
2,"y","demand",0.0080051550776215
3,"y","demand",0.00719540330838375
4,"y","demand",0.00653631304039581
5,"y","demand",0.0057845829589637
6,"y","demand",0.00510865239801986
7,"y","demand",0.00448757856286702
8,"y","demand",0.00393693127317061
9,"y","demand",0.00344944368180483
10,"y","demand",0.00302089937384762
11,"y","demand",0.0026447127425506
12,"y","demand",0.00231502481985411
13,"y","demand",0.00202624915243117
14,"y","demand",0.0017734146678186
15,"y","demand",0.00155208830573743
16,"y","demand",0.00135836568041869
17,"y","demand",0.00118881348366124
18,"y","demand",0.00104042079603242
19,"y","demand",0.00091054913449484
20,"y","demand",0.0007968879226731
21,"y","demand",0.000697414272583606
22,"y","demand",0.000610357478935608
23,"y","demand",0.000534167708799469
24,"y","demand",0.000467488517673756
25,"y","demand",0.000409132747921701
26,"y","demand",0.000358061416064327
27,"y","demand",0.000313365225210697
28,"y","demand",0.000274248380718683
29,"y","demand",0.000240014423866638
30,"y","demand",0.000210053832855593
31,"y","demand",0.000183833171060331
32,"y","demand",0.000160885589654969
33,"y","demand",0.000140802515669395
34,"y","demand",0.00012322637755984
35,"y","demand",0.000107844238809571
36,"y","demand",9.4382226224846e-05
37,"y","demand",8.26006537317261e-05
38,"y","demand",7.2289754858461e-05
39,"y","demand",6.32659479236084e-05
40,"y","demand",5.53685674337851e-05
41,"y","demand",4.84570034951971e-05
42,"y","demand",4.24081983074268e-05
43,"y","demand",3.71144551655753e-05
44,"y","demand",3.24815209609053e-05
45,"y","demand",2.84269080396492e-05
46,"y","demand",2.48784255413159e-05
47,"y","demand",2.17728940675322e-05
48,"y","demand",1.9055020796581e-05
49,"y","demand",1.66764150154745e-05
50,"y","demand",1.45947265414814e-05
0,"y","supply",0.00531205791045718
1,"y","supply",0.00900785501574065
2,"y","supply",0.00992001512173767
3,"y","supply",0.0103268817283222
4,"y","supply",0.0102657079046268
5,"y","supply",0.0100909270863769
6,"y","supply",0.00985607220525241
7,"y","supply",0.00961989477444702
8,"y","supply",0.00939612337112754
9,"y","supply",0.00919307306446919
10,"y","supply",0.00901168792170759
11,"y","supply",0.00885129680431855
12,"y","supply",0.00871011973992793
13,"y","supply",0.00858619396634704
14,"y","supply",0.00847755909992777
15,"y","supply",0.00838240165990928
16,"y","supply",0.00829908291617873
17,"y","supply",0.00822614609957224
18,"y","supply",0.00816230504099127
19,"y","supply",0.00810642900007733
20,"y","supply",0.00805752590585739
21,"y","supply",0.00801472637541357
22,"y","supply",0.00797726899980131
23,"y","supply",0.00794448715808603
24,"y","supply",0.00791579732029705
25,"y","supply",0.00789068874005126
26,"y","supply",0.00786871439936453
27,"y","supply",0.00784948306792751
28,"y","supply",0.00783265234598442
29,"y","supply",0.00781792257209945
30,"y","supply",0.00780503148971311
31,"y","supply",0.00779374957866822
32,"y","supply",0.00778387596911692
33,"y","supply",0.00777523486531017
34,"y","supply",0.00776767241571574
35,"y","supply",0.00776105397379436
36,"y","supply",0.00775526170068992
37,"y","supply",0.0077501924671629
38,"y","supply",0.0077457560174177
