"horizon","variable","shock","share"
0,"y","demand",0.514573060854229
1,"y","demand",0.495503779899547
2,"y","demand",0.488486560916074
3,"y","demand",0.49394545605104
4,"y","demand",0.50274607535667
5,"y","demand",0.502693836220669
6,"y","demand",0.504571022387209
7,"y","demand",0.504510757524353
8,"y","demand",0.504406207749062
9,"y","demand",0.504175034441977
10,"y","demand",0.50401345668647
11,"y","demand",0.504007692105057
12,"y","demand",0.504015551154838
13,"y","demand",0.504038921505369
14,"y","demand",0.504055589651276
15,"y","demand",0.50405995544591
16,"y","demand",0.504060695842842
17,"y","demand",0.504059108451104
18,"y","demand",0.504058182304416
19,"y","demand",0.504057688300909
20,"y","demand",0.504057571052734
21,"y","demand",0.504057652369117
22,"y","demand",0.504057735905325
23,"y","demand",0.504057789459354
24,"y","demand",0.504057810016249
25,"y","demand",0.504057811096416
26,"y","demand",0.504057806857374
27,"y","demand",0.504057803010692
28,"y","demand",0.50405780168397
29,"y","demand",0.504057801847931
30,"y","demand",0.504057802499175
31,"y","demand",0.504057803085363
32,"y","demand",0.504057803398866
33,"y","demand",0.504057803496431
34,"y","demand",0.504057803484189
35,"y","demand",0.50405780343843
36,"y","demand",0.504057803396394
37,"y","demand",0.504057803367354
38,"y","demand",0.504057803350725
39,"y","demand",0.504057803341868
40,"y","demand",0.504057803337261
41,"y","demand",0.504057803334827
42,"y","demand",0.504057803333601
43,"y","demand",0.504057803333093
44,"y","demand",0.504057803332986
45,"y","demand",0.50405780333305
46,"y","demand",0.504057803333133
47,"y","demand",0.504057803333162
48,"y","demand",0.504057803333111
49,"y","demand",0.504057803332991
50,"y","demand",0.504057803332827
0,"y","supply",0.485426939145771
1,"y","supply",0.504496220100453
2,"y","supply",0.511513439083926
3,"y","supply",0.50605454394896
4,"y","supply",0.49725392464333
5,"y","supply",0.497306163779331
6,"y","supply",0.495428977612791
7,"y","supply",0.495489242475647
8,"y","supply",0.495593792250938
9,"y","supply",0.495824965558024
10,"y","supply",0.49598654331353
11,"y","supply",0.495992307894943
12,"y","supply",0.495984448845162
13,"y","supply",0.495961078494631
14,"y","supply",0.495944410348724
15,"y","supply",0.49594004455409
16,"y","supply",0.495939304157158
17,"y","supply",0.495940891548896
18,"y","supply",0.495941817695584
19,"y","supply",0.495942311699091
20,"y","supply",0.495942428947266
21,"y","supply",0.495942347630883
22,"y","supply",0.495942264094675
23,"y","supply",0.495942210540647
24,"y","supply",0.495942189983751
25,"y","supply",0.495942188903584
26,"y","supply",0.495942193142626
27,"y","supply",0.495942196989308
28,"y","supply",0.49594219831603
29,"y","supply",0.495942198152069
30,"y","supply",0.495942197500825
31,"y","supply",0.495942196914637
32,"y","supply",0.495942196601133
33,"y","supply",0.495942196503569
34,"y","supply",0.495942196515811
35,"y","supply",0.49594219656157
36,"y","supply",0.495942196603607
37,"y","supply",0.495942196632646
38,"y","supply",0.495942196649275
39,"y","supply",0.495942196658131
40,"y","supply",0.495942196662739
41,"y","supply",0.495942196665173
42,"y","supply",0.495942196666399
43,"y","supply",0.495942196666907
44,"y","supply",0.495942196667014
45,"y","supply",0.49594219666695
46,"y","supply",0.495942196666867
47,"y","supply",0.495942196666838
48,"y","supply",0.495942196666889
49,"y","supply",0.495942196667009
50,"y","supply",0.495942196667172
0,"z","demand",0.99986083112388
1,"z","demand",0.924783236837852
2,"z","demand",0.849187842267444
3,"z","demand",0.79714488127518
4,"z","demand",0.752183920368524
5,"z","demand",0.724796011696533
6,"z","demand",0.698577378479973
7,"z","demand",0.678770114618069
8,"z","demand",0.664546922714816
9,"z","demand",0.654599812297734
10,"z","demand",0.647034191519235
11,"z","demand",0.641404126822242
12,"z","demand",0.63718138613628
13,"z","demand",0.633998293291133
14,"z","demand",0.631513401595624
15,"z","demand",0.629494749021387
16,"z","demand",0.627850627519939
17,"z","demand",0.626487517866078
18,"z","demand",0.625343172512338
19,"z","demand",0.624370696581572
20,"z","demand",0.623544708202305
21,"z","demand",0.622843711418045
22,"z","demand",0.622249750262247
23,"z","demand",0.621746870602351
24,"z","demand",0.621322154430833
25,"z","demand",0.620964388934178
26,"z","demand",0.620663360030954
27,"z","demand",0.620410204862869
28,"z","demand",0.620197313390579
29,"z","demand",0.62001827917138
30,"z","demand",0.619867640556662
31,"z","demand",0.619740804912737
32,"z","demand",0.619633932431436
33,"z","demand",0.619543828613948
34,"z","demand",0.619467824102846
35,"z","demand",0.619403685715267
36,"z","demand",0.619349544852675
37,"z","demand",0.619303835110287
38,"z","demand",0.619265240291573
39,"z","demand",0.619232651583801
40,"z","demand",0.619205134170526
41,"z","demand",0.619181899226954
42,"z","demand",0.619162280730474
43,"z","demand",0.61914571605011
44,"z","demand",0.619131729913142
45,"z","demand",0.619119920901036
46,"z","demand",0.619109950018768
47,"z","demand",0.619101531018147
48,"z","demand",0.619094422219695
