"horizon","response","shock","irf"
0,"y","demand",0.00733166349443008
1,"y","demand",0.00505677550713283
2,"y","demand",0.00455891419541543
3,"y","demand",0.00336085644602293
4,"y","demand",0.00171185779966023
5,"y","demand",0.0011012928666686
6,"y","demand",0.000393750768080186
7,"y","demand",-5.72863584659374e-05
8,"y","demand",-0.000320526837931874
9,"y","demand",-0.000363888907548737
10,"y","demand",-0.000362492895816644
11,"y","demand",-0.000275338449456644
12,"y","demand",-0.000210617884389032
13,"y","demand",-0.000132908021633059
14,"y","demand",-6.68798586598025e-05
15,"y","demand",-2.3871439990366e-05
16,"y","demand",3.82051123302652e-06
17,"y","demand",1.68735552329093e-05
18,"y","demand",2.21493235899444e-05
19,"y","demand",2.08025091843458e-05
20,"y","demand",1.66327386673894e-05
21,"y","demand",1.11249003597929e-05
22,"y","demand",6.4425917082676e-06
23,"y","demand",2.60523155823901e-06
24,"y","demand",-9.02969121683627e-08
25,"y","demand",-1.72387187503347e-06
26,"y","demand",-2.49063038716318e-06
27,"y","demand",-2.62800791389526e-06
28,"y","demand",-2.4274855250574e-06
29,"y","demand",-2.05031117365746e-06
30,"y","demand",-1.63085001703649e-06
31,"y","demand",-1.23779815820103e-06
32,"y","demand",-9.2177575795551e-07
33,"y","demand",-6.88218031048958e-07
34,"y","demand",-5.30314082466238e-07
35,"y","demand",-4.3120087782486e-07
36,"y","demand",-3.74528389286997e-07
37,"y","demand",-3.45084833947198e-07
38,"y","demand",-3.29861889790725e-07
39,"y","demand",-3.20277161901746e-07
40,"y","demand",-3.11052035305725e-07
41,"y","demand",-2.99834077044329e-07
42,"y","demand",-2.85740653261899e-07
43,"y","demand",-2.69104506534448e-07
44,"y","demand",-2.50752578412176e-07
45,"y","demand",-2.31694021906763e-07
46,"y","demand",-2.12785514728649e-07
47,"y","demand",-1.94665548135897e-07
48,"y","demand",-1.77748637297045e-07
49,"y","demand",-1.62241220700074e-07
50,"y","demand",-1.4818966931712e-07
0,"y","supply",0.00712099921215783
1,"y","supply",0.0101688201281258
2,"y","supply",0.0115716573596504
3,"y","supply",0.011934582058501
4,"y","supply",0.0126704190004769
5,"y","supply",0.0120524507940539
6,"y","supply",0.011910729981501
7,"y","supply",0.011447052904625
8,"y","supply",0.0111395693985041
9,"y","supply",0.0108936826424791
10,"y","supply",0.0106911953528538
11,"y","supply",0.0105966527478142
12,"y","supply",0.0105505339753667
13,"y","supply",0.0105474802740801
14,"y","supply",0.0105551080672407
15,"y","supply",0.0105817838349028
16,"y","supply",0.01060558558158
17,"y","supply",0.0106294735874155
18,"y","supply",0.0106456758335801
19,"y","supply",0.0106569541836388
20,"y","supply",0.0106638006276858
21,"y","supply",0.0106668343417561
22,"y","supply",0.0106674368485802
23,"y","supply",0.0106664923647932
24,"y","supply",0.010665103141297
25,"y","supply",0.0106635697232682
26,"y","supply",0.0106622833901233
27,"y","supply",0.0106612858142406
28,"y","supply",0.010660672309838
29,"y","supply",0.0106603587118175
30,"y","supply",0.0106602705173642
31,"y","supply",0.0106603269273535
32,"y","supply",0.0106604635671636
33,"y","supply",0.0106606335712788
34,"y","supply",0.0106607998249366
35,"y","supply",0.0106609457099161
36,"y","supply",0.0106610633202809
37,"y","supply",0.0106611540146921
38,"y","supply",0.0106612207202609
39,"y","supply",0.0106612690832356
40,"y","supply",0.0106613044868217
41,"y","supply",0.0106613317247799
42,"y","supply",0.0106613542330348
43,"y","supply",0.0106613742657639
44,"y","supply",0.0106613932017239
45,"y","supply",0.01066141167159
46,"y","supply",0.0106614298518716
47,"y","supply",0.010661447622321
48,"y","supply",0.0106614647843334
49,"y","supply",0.0106614811246848
50,"y","supply",0.0106614964799042
0,"z","demand",-0.639519058668507
1,"z","demand",-0.556995767548818
2,"z","demand",-0.496641050959118
3,"z","demand",-0.458508639793798
4,"z","demand",-0.41141826626778
5,"z","demand",-0.355975132897151
6,"z","demand",-0.295374224319761
7,"z","demand",-0.241394722144366
8,"z","demand",-0.208164981637876
9,"z","demand",-0.184714859137003
10,"z","demand",-0.161033122951154
11,"z","demand",-0.146307864551763
12,"z","demand",-0.134581012345568
13,"z","demand",-0.125834377120773
14,"z","demand",-0.117462885165014
15,"z","demand",-0.109530625187188
16,"z","demand",-0.102140452486956
17,"z","demand",-0.0950481249048712
18,"z","demand",-0.0880240861986518
19,"z","demand",-0.0811765958087614
20,"z","demand",-0.0747143092234749
21,"z","demand",-0.0686352326295046
22,"z","demand",-0.0629830555348328
23,"z","demand",-0.0577408775192343
24,"z","demand",-0.052938628533349
25,"z","demand",-0.0485542074427985
26,"z","demand",-0.0445531365826108
27,"z","demand",-0.0408991751487945
28,"z","demand",-0.0375620242516754
29,"z","demand",-0.0345115783272731
30,"z","demand",-0.0317174937009863
31,"z","demand",-0.0291540448945412
32,"z","demand",-0.0267992998149428
33,"z","demand",-0.0246351131193806
34,"z","demand",-0.0226448037437952
35,"z","demand",-0.0208139024400852
36,"z","demand",-0.0191296137968924
37,"z","demand",-0.0175805135154944
38,"z","demand",-0.0161560524417641
39,"z","demand",-0.0148464597429299
40,"z","demand",-0.0136427143317282
41,"z","demand",-0.0125364536257722
42,"z","demand",-0.0115199086893231
43,"z","demand",-0.0105858578080809
44,"z","demand",-0.00972762867799546
45,"z","demand",-0.0089390660980054
46,"z","demand",-0.00821450240302619
