date	Y	C	I	L
2007-01-01	16611.69	11183.3	2664.295	34.3
2007-04-01	16713.314	11212.7	2699.217	34.4
2007-07-01	16809.587	11287.4	2685.969	34.4
2007-10-01	16915.191	11332	2642.56	34.4
2008-01-01	16843.003	11316.4	2563.701	34.4
2008-04-01	16943.291	11347.6	2540.595	34.4
2008-07-01	16854.295	11260.1	2498.242	34.3
2008-10-01	16485.35	11158.8	2307.915	34.1
2009-01-01	16298.262	11130.5	2014.878	33.9
2009-04-01	16269.145	11075.7	1863.65	33.8
2009-07-01	16326.281	11150.2	1841.416	33.8
2009-10-01	16502.754	11137.9	1998.71	33.9
2010-01-01	16582.71	11202.5	2038.161	33.9
2010-04-01	16743.162	11303	2148.795	34.1
2010-07-01	16872.266	11383.6	2236.495	34.2
2010-10-01	16960.864	11453.4	2238.44	34.3
2011-01-01	16920.632	11497.1	2205.962	34.3
2011-04-01	17035.114	11508.9	2297.352	34.4
2011-07-01	17031.313	11544	2322.84	34.4
2011-10-01	17222.583	11563.9	2504.095	34.4
2012-01-01	17367.01	11647.3	2567.75	34.5
2012-04-01	17444.525	11667.8	2636.863	34.4
2012-07-01	17469.65	11691.4	2644.119	34.4
2012-10-01	17489.852	11738	2638.282	34.4
2013-01-01	17662.4	11814.3	2746.42	34.5
2013-04-01	17709.671	11848.1	2780.242	34.4
2013-07-01	17860.45	11896.2	2892.354	34.4
2013-10-01	18016.147	12001	2934.291	34.4
2014-01-01	17953.974	12044.2	2922.765	34.4
2014-04-01	18185.911	12159.9	3059.096	34.5
2014-07-01	18406.941	12280.1	3142.047	34.5
2014-10-01	18500.031	12421.6	3172.016	34.6
2015-01-01	18666.621	12516.9	3282.283	34.5
2015-04-01	18782.243	12603	3291.104	34.5
2015-07-01	18857.418	12691.8	3303.66	34.6
2015-10-01	18892.206	12743.4	3276.879	34.5
2016-01-01	19001.69	12839.6	3244.317	34.5
2016-04-01	19062.709	12903.3	3246.381	34.4
2016-07-01	19197.938	12993.1	3261.571	34.4
2016-10-01	19304.352	13060.1	3360.952	34.4
2017-01-01	19398.343	13160.5	3363.101	34.3
2017-04-01	19506.949	13225.8	3432.968	34.4
2017-07-01	19660.766	13315.4	3500.142	34.4
2017-10-01	19882.352	13460.9	3574.446	34.5
2018-01-01	20044.077	13558.4	3645.635	34.5
2018-04-01	20150.476	13631	3662.727	34.5
2018-07-01	20276.154	13693.8	3788.692	34.5
2018-10-01	20304.874	13736.6	3802.028	34.5
2019-01-01	20431.641	13758.3	3850.77	34.5
2019-04-01	20602.275	13875.7	3903.996	34.4
2019-07-01	20843.322	14033.2	3939.599	34.4
2019-10-01	20985.448	14125.2	3880.57	34.3
2020-01-01	20709.212	13887.1	3807.7	34.2
2020-04-01	19077.992	12685.3	3270.187	34.5
2020-07-01	20558.879	13813.7	3911.004	34.7
2020-10-01	20791.917	14001.4	4064.655	34.8
2021-01-01	21082.134	14319.6	4058.943	34.8
2021-04-01	21440.929	14820	4049.667	34.9
2021-07-01	21617.828	14943.3	4255.263	34.8
2021-10-01	21988.737	15086.9	4622.306	34.8
2022-01-01	21932.71	15100.8	4814.294	34.6
2022-04-01	21967.045	15224.4	4811.513	34.6
2022-07-01	22125.625	15295.8	4812.308	34.6
2022-10-01	22278.345	15326.3	4939.217	34.5
2023-01-01	22439.607	15495.8	4883.84	34.5
2023-04-01	22580.499	15553.7	4961.052	34.4
2023-07-01	22840.989	15671.9	5088.8	34.4
2023-10-01	23033.78	15789.7	5161.154	34.4
2024-01-01	23082.119	15857.7	5155.029	34.3
2024-04-01	23286.508	16009.6	5290.171	34.3
2024-07-01	23478.57	16165.8	5330.249	34.3
2024-10-01	23586.542	16320.9	5261.83	34.3
2025-01-01	23548.21	16345.8	5556.216	34.2
2025-04-01	23770.976	16445.7	5358.632	34.2
2025-07-01	24026.834	16585.9	5419.029	34.2
2025-10-01	24055.749	16665.2	5500.636	34.2
