"h","C_tech","C_gov","Y_tech","Y_gov","L_tech","L_gov","I_tech","I_gov"
0,0.990960480117459,0.00903951988254091,0.998882582521974,0.0011174174780258,0.869736531026699,0.130263468973301,0.997589778172388,0.00241022182761235
1,0.991477140221701,0.00852285977829896,0.998951757029599,0.00104824297040095,0.861544451718319,0.138455548281681,0.99767238188716,0.00232761811283977
2,0.991948139960985,0.00805186003901532,0.999015085386968,0.000984914613032054,0.852888301952541,0.147111698047459,0.997750268450564,0.00224973154943583
3,0.992378520582237,0.00762147941776342,0.999073111259934,0.000926888740066158,0.84378973595854,0.15621026404146,0.997823684365931,0.00217631563406899
4,0.992772680476015,0.00722731952398505,0.999126324107517,0.000873675892483188,0.834286809518434,0.165713190481566,0.997892865729628,0.00210713427037171
5,0.993134463048988,0.00686553695101224,0.999175164926421,0.00082483507357894,0.824437251368026,0.175562748631974,0.997958038462289,0.00204196153771127
6,0.993467232925778,0.00653276707422226,0.999220031350381,0.000779968649619078,0.814321557635332,0.185678442364668,0.998019418551431,0.00198058144856956
7,0.993773941629553,0.00622605837044696,0.999261282180911,0.000738717819088683,0.804045515160277,0.195954484839723,0.998077212304014,0.0019227876959862
8,0.994057183979764,0.00594281602023597,0.999299241416482,0.000700758583517893,0.793741646326998,0.206258353673002,0.998131616607506,0.00186838339249398
9,0.99431924641396,0.0056807535860396,0.999334201838823,0.000665798161176651,0.783568989045285,0.216431010954715,0.998182819198059,0.00181718080194114
10,0.994562148348707,0.00543785165129272,0.999366428207833,0.000633571792167232,0.773710621221774,0.226289378778225,0.998230998934448,0.00176900106555198
11,0.994787677577259,0.00521232242274081,0.999396160110254,0.000603839889746166,0.76436845343104,0.23563154656896,0.998276326076472,0.00172367392352779
12,0.994997420578611,0.00500257942138921,0.999423614501798,0.000576385498201875,0.755755079522226,0.244244920477774,0.998318962566566,0.00168103743343344
13,0.995192788494418,0.00480721150558184,0.999448987977592,0.000551012022408401,0.748082894477827,0.251917105522173,0.998359062313446,0.00164093768655433
14,0.995375039422235,0.0046249605777649,0.999472458801638,0.000527541198361838,0.741551213730787,0.258448786269212,0.998396771476658,0.0016032285233424
15,0.995545297577552,0.00445470242244825,0.999494188722335,0.000505811277664742,0.736332653287476,0.263667346712524,0.998432228750999,0.00156777124900139
16,0.995704569793518,0.00429543020648159,0.999514324597876,0.000485675402124231,0.732560410536045,0.267439589463955,0.998465565649809,0.00153443435019046
17,0.995853759755318,0.00414624024468212,0.999532999852568,0.000467000147431579,0.73031818045868,0.26968181954132,0.998496906786248,0.00150309321375238
18,0.995993680304817,0.00400631969518279,0.999550335782653,0.000449664217346666,0.72963417142486,0.27036582857514,0.998526370151701,0.00147362984829934
19,0.99612506409913,0.0038749359008704,0.999566442728036,0.000433557271964572,0.730480075653979,0.269519924346021,0.998554067390584,0.00144593260941581
