horizon	c	y	l	k	i	z	g
0	-0.133905676524363	0.0669528382621813	0.100429257393272	0	-0.243094862095963	0	1
1	-0.130919356501011	0.0624209924743062	0.0966701744876588	-0.00607737155239907	-0.22713900939149	0	0.95
2	-0.127931633830542	0.0581638606660828	0.0930477472483124	-0.0116039124983763	-0.212135412436819	0	0.9025
3	-0.12494870329687	0.0541657516500163	0.0895572274734431	-0.0166171999968374	-0.198030181631561	0	0.857375
4	-0.121976201061401	0.0504118382618479	0.0861940196616246	-0.0211525245377055	-0.184772376921939	0	0.81450625
5	-0.119019242707859	0.046888110930274	0.0829536768190667	-0.0252430208473113	-0.172313849958486	0	0.7737809375
6	-0.116082458973889	0.0435813336993989	0.0798318963366438	-0.0289197915750907	-0.16060909456706	0	0.735091890625
7	-0.113170029301794	0.0404790025759522	0.0768245159388732	-0.0322120241498899	-0.149615105100378	0	0.69833729609375
8	-0.110285713333485	0.0375693060799164	0.0739275097067007	-0.0351471011736521	-0.13929124225964	0	0.663420431289062
9	-0.107432880467778	0.0348410878834883	0.0711369841756333	-0.0377507047008018	-0.129599105996967	0	0.630249409724609
10	-0.104614537591699	0.0322838114292465	0.0684491745104727	-0.0400469147332059	-0.12050241512952	0	0.598736939238379
11	-0.101833355091215	0.0298875264240504	0.0658604407576324	-0.0420583022431138	-0.111966893315198	0	0.56880009227646
12	-0.0990916912410134	0.0276428371105488	0.0633672641757811	-0.0438060170199159	-0.103960161057941	0	0.540360087662637
13	-0.0963916150673894	0.0255408722232614	0.0609662436453254	-0.0453098706208665	-0.0964516334278052	0	0.513342083279505
14	-0.0937349277730719	0.0235732565410159	0.0586540921570439	-0.04658841469104	-0.0894124231972683	0	0.487674979115529
15	-0.091123182807888	0.0217320839520962	0.0564276333799921	-0.0476590149036957	-0.0828152491106837	0	0.463291230159753
16	-0.0885577046644618	0.0200098919527957	0.0542837983086288	-0.0485379207588704	-0.0766343490184282	0	0.440126668651765
17	-0.0860396064737284	0.0183996375041846	0.0522196219889565	-0.0492403314653593	-0.0708453976212141	0	0.418120335219177
18	-0.0835698064708551	0.0168946741757997	0.0502322403233274	-0.0497804581192557	-0.0654254285832098	0	0.397214318458218
19	-0.0811490433981991	0.0154887305086723	0.0483188869534357	-0.0501715823808546	-0.0603527607851252	0	0.377353602535307
20	-0.0787778909081912	0.0141758895336149	0.0464768902209031	-0.0504261118409613	-0.0556069285002821	0	0.358485922408542
21	-0.0764567710254907	0.0129505693840232	0.0447036702047569	-0.0505556322574443	-0.0511686152879458	0	0.340561626288115
22	-0.0741859667244126	0.0118075049456029	0.0429967358350078	-0.0505709568332069	-0.0470195914088662	0	0.323533544973709
23	-0.0719656336744633	0.0107417304884325	0.0413536820814479	-0.0504821726975984	-0.0431426545781085	0	0.307356867725023
24	-0.0697958112038278	0.00974856322960837	0.0397721872167181	-0.0502986847446111	-0.0395215738798499	0	0.291989024338772
25	-0.0676764325278282	0.00882358777741808	0.0382500101526232	-0.0500292569729921	-0.0361410366779358	0	0.277389573121834
26	-0.0656073342866951	0.00796264141053974	0.0367849878486174	-0.0496820514656157	-0.0329865983646241	0	0.263520094465742
27	-0.0635882654344732	0.00716180014819114	0.0353750327913322	-0.0492646651380909	-0.0300446347981432	0	0.250344089742455
28	-0.0616188955184914	0.0064173655694496	0.0340181305439705	-0.0487841643795922	-0.0273022972874604	0	0.237826885255332
29	-0.0596988223865751	0.00572585234214313	0.0327123373643591	-0.0482471177022889	-0.0247474699900301	0	0.225935540992565
30	-0.0578275793570445	0.00508397642378104	0.0314557778904128	-0.0476596265094824	-0.0223687295952791	0	0.214638763942937
31	-0.0560046418845304	0.00448864389895155	0.030246642891741	-0.0470273540866273	-0.0201553071732201	0	0.20390682574579
32	-0.0542294337527383	0.00393694041947308	0.0290831870861057	-0.0463555529137922	-0.0180970520738681	0	0.193711484458501
33	-0.0525013328234901	0.00342612121534804	0.0279637270194191	-0.0456490903927941	-0.0161843977691008	0	0.184025910235576
34	-0.0508196763696808	0.00295360164623955	0.0268866390079602	-0.0449124730772017	-0.0144083295342551	0	0.174824614723797
35	-0.0491837660181796	0.00251694826477579	0.0258503571414777	-0.044149869488628	-0.012760353872117	0	0.166083383987607
36	-0.0475928723271943	0.00211387036448954	0.0248533713458419	-0.0433651315982153	-0.0112324695870454	0	0.157779214788227
37	-0.0460462390211865	0.00174221198662523	0.0238942255039059	-0.042561815047936	-0.0098171404217927	0	0.149890254048815
38	-0.0445430869050747	0.00139994436139613	0.0229715156332354	-0.0417431981822824	-0.00850726917415671	0	0.142395741346375
39	-0.0430826174781908	0.00108515876055577	0.0220838881193733	-0.0409122999570793	-0.00729617321493514	0	0.135275954279056
40	-0.0416640162672484	0.000796059739361361	0.0212300380033049	-0.0400718967885257	-0.00617756133276338	0	0.128512156565103
