horizon	variable	shock	response
0	c	gov	-0.133905676524363
1	c	gov	-0.130919356501011
2	c	gov	-0.127931633830542
3	c	gov	-0.12494870329687
4	c	gov	-0.121976201061401
5	c	gov	-0.119019242707859
6	c	gov	-0.116082458973889
7	c	gov	-0.113170029301794
8	c	gov	-0.110285713333485
9	c	gov	-0.107432880467778
10	c	gov	-0.104614537591699
11	c	gov	-0.101833355091215
12	c	gov	-0.0990916912410134
13	c	gov	-0.0963916150673894
14	c	gov	-0.0937349277730719
15	c	gov	-0.091123182807888
16	c	gov	-0.0885577046644618
17	c	gov	-0.0860396064737284
18	c	gov	-0.0835698064708551
19	c	gov	-0.0811490433981991
20	c	gov	-0.0787778909081912
21	c	gov	-0.0764567710254907
22	c	gov	-0.0741859667244126
23	c	gov	-0.0719656336744633
24	c	gov	-0.0697958112038278
25	c	gov	-0.0676764325278282
26	c	gov	-0.0656073342866951
27	c	gov	-0.0635882654344732
28	c	gov	-0.0616188955184914
29	c	gov	-0.0596988223865751
30	c	gov	-0.0578275793570445
31	c	gov	-0.0560046418845304
32	c	gov	-0.0542294337527383
33	c	gov	-0.0525013328234901
34	c	gov	-0.0508196763696808
35	c	gov	-0.0491837660181796
36	c	gov	-0.0475928723271943
37	c	gov	-0.0460462390211865
38	c	gov	-0.0445430869050747
39	c	gov	-0.0430826174781908
40	c	gov	-0.0416640162672484
0	y	gov	0.0669528382621813
1	y	gov	0.0624209924743062
2	y	gov	0.0581638606660828
3	y	gov	0.0541657516500163
4	y	gov	0.0504118382618479
5	y	gov	0.046888110930274
6	y	gov	0.0435813336993989
7	y	gov	0.0404790025759522
8	y	gov	0.0375693060799164
9	y	gov	0.0348410878834883
10	y	gov	0.0322838114292465
11	y	gov	0.0298875264240504
12	y	gov	0.0276428371105488
13	y	gov	0.0255408722232614
14	y	gov	0.0235732565410159
15	y	gov	0.0217320839520962
16	y	gov	0.0200098919527957
17	y	gov	0.0183996375041846
18	y	gov	0.0168946741757997
19	y	gov	0.0154887305086723
20	y	gov	0.0141758895336149
21	y	gov	0.0129505693840232
22	y	gov	0.0118075049456029
23	y	gov	0.0107417304884325
24	y	gov	0.00974856322960837
25	y	gov	0.00882358777741808
26	y	gov	0.00796264141053974
27	y	gov	0.00716180014819114
28	y	gov	0.0064173655694496
29	y	gov	0.00572585234214313
30	y	gov	0.00508397642378104
31	y	gov	0.00448864389895155
32	y	gov	0.00393694041947308
33	y	gov	0.00342612121534804
34	y	gov	0.00295360164623955
35	y	gov	0.00251694826477579
36	y	gov	0.00211387036448954
37	y	gov	0.00174221198662523
38	y	gov	0.00139994436139613
39	y	gov	0.00108515876055577
40	y	gov	0.000796059739361361
0	l	gov	0.100429257393272
1	l	gov	0.0966701744876588
2	l	gov	0.0930477472483124
3	l	gov	0.0895572274734431
4	l	gov	0.0861940196616246
5	l	gov	0.0829536768190667
6	l	gov	0.0798318963366438
7	l	gov	0.0768245159388732
8	l	gov	0.0739275097067007
9	l	gov	0.0711369841756333
10	l	gov	0.0684491745104727
11	l	gov	0.0658604407576324
12	l	gov	0.0633672641757811
