horizon	variable	tech_share	gov_share
0	c	0.990473529540113	0.0095264704598873
1	c	0.991046021721356	0.00895397827864375
2	c	0.991565311556194	0.00843468844380569
3	c	0.992037583075172	0.00796241692482832
4	c	0.992468193334848	0.00753180666515233
5	c	0.992861790003366	0.00713820999663396
6	c	0.99322241301304	0.00677758698695967
7	c	0.993553581733111	0.00644641826688886
8	c	0.993858369352391	0.00614163064760857
9	c	0.994139466165215	0.00586053383478541
10	c	0.994399233340753	0.00560076665924706
11	c	0.994639748591626	0.00536025140837367
12	c	0.994862844979508	0.00513715502049236
13	c	0.995070143922529	0.00492985607747118
14	c	0.995263083311016	0.00473691668898359
15	c	0.995442941498074	0.00455705850192575
16	c	0.995610857810314	0.00438914218968558
17	c	0.995767850120563	0.00423214987943749
18	c	0.995914829936855	0.00408517006314473
19	c	0.996052615388503	0.00394738461149735
20	c	0.996181942428421	0.00381805757157875
21	c	0.996303474519537	0.00369652548046304
22	c	0.996417811030181	0.00358218896981924
23	c	0.996525494527663	0.00347450547233685
24	c	0.996627017129416	0.00337298287058426
25	c	0.996722826046228	0.00327717395377151
26	c	0.996813328431349	0.00318667156865075
27	c	0.996898895631849	0.00310110436815123
28	c	0.996979866924112	0.00302013307588808
29	c	0.997056552803114	0.00294344719688558
30	c	0.997129237884889	0.00287076211511099
31	c	0.997198183472949	0.00280181652705145
32	c	0.997263629832146	0.00273637016785385
33	c	0.997325798207291	0.00267420179270916
34	c	0.997384892618617	0.00261510738138273
35	c	0.997441101461776	0.00255889853822439
36	c	0.997494598936238	0.00250540106376216
37	c	0.997545546322802	0.00245445367719806
38	c	0.99759409312813	0.00240590687187007
39	c	0.997640378111905	0.00235962188809475
40	c	0.997684530210179	0.0023154697898212
0	y	0.998813177500399	0.00118682249960118
1	y	0.998887824955933	0.00111217504406717
2	y	0.998956087812155	0.00104391218784516
3	y	0.999018567319053	0.000981432680946877
4	y	0.999075803964375	0.000924196035624679
5	y	0.999128284006657	0.000871715993343253
6	y	0.999176445263302	0.000823554736698275
7	y	0.999220682243506	0.000779317756494478
8	y	0.999261350704431	0.000738649295568782
9	y	0.999298771699183	0.000701228300816878
10	y	0.999333235176542	0.000666764823457484
11	y	0.999365003184977	0.000634996815023075
12	y	0.999394312726949	0.00060568727305072
13	y	0.999421378303907	0.000578621696092471
14	y	0.999446394187416	0.000553605812584284
15	y	0.999469536447597	0.000530463552402834
16	y	0.999490964766315	0.000509035233684626
17	y	0.999510824059246	0.000489175940753914
18	y	0.999529245928133	0.00047075407186734
19	y	0.999546349962012	0.000453650037987958
20	y	0.999562244904004	0.000437755095995798
21	y	0.999577029698333	0.000422970301666718
22	y	0.999590794430559	0.000409205569440716
23	y	0.999603621172515	0.000396378827485296
24	y	0.999615584742135	0.000384415257864998
25	y	0.999626753387223	0.000373246612777483
26	y	0.999637189401171	0.000362810598829201
27	y	0.999646949677783	0.00035305032221676
28	y	0.999656086211531	0.000343913788468548
29	y	0.999664646548902	0.000335353451097679
30	y	0.999672674195867	0.00032732580413341
31	y	0.999680208985957	0.000319791014043397
32	y	0.999687287412958	0.000312712587042228
33	y	0.99969394293179	0.000306057068209932
34	y	0.999700206230776	0.000299793769224294
35	y	0.999706105478152	0.000293894521848306
36	y	0.999711666545386	0.000288333454614214
37	y	0.999716913209587	0.000283086790412504
38	y	0.999721867337068	0.000278132662931855
39	y	0.999726549049892	0.000273450950107831
40	y	0.999730976877073	0.000269023122926903
0	l	0.891893132762345	0.108106867237655
1	l	0.885321368658806	0.114678631341194
2	l	0.878386177074103	0.121613822925897
3	l	0.871100860361543	0.128899139638457
4	l	0.863489663401864	0.136510336598136
5	l	0.855589948047494	0.144410051952506
6	l	0.847454306611826	0.152545693388174
7	l	0.839152396763941	0.160847603236059
8	l	0.830772213371558	0.169227786628443
9	l	0.822420458964868	0.177579541035132
10	l	0.814221652953153	0.185778347046847
11	l	0.806315653242858	0.193684346757142
12	l	0.798853373063494	0.201146626936506
13	l	0.79199067048101	0.20800932951899
14	l	0.785880657696799	0.214119342303201
15	l	0.780664983911326	0.219335016088674
16	l	0.776464925296918	0.223535074703082
17	l	0.773373291444254	0.226626708555746
18	l	0.771448163200244	0.228551836799756
19	l	0.77070928320889	0.229290716791109
20	l	0.771137553685665	0.228862446314334
21	l	0.772677634600486	0.227322365399514
22	l	0.775243187037687	0.224756812962313
23	l	0.778723971753949	0.221276028246051
24	l	0.782993853844856	0.217006146155144
25	l	0.787918789466428	0.212081210533572
26	l	0.793364041057748	0.206635958942252
27	l	0.799200118550961	0.200799881449039
28	l	0.80530720876624	0.19469279123376
29	l	0.811578082739011	0.188421917260989
30	l	0.817919633839771	0.182080366160229
31	l	0.824253292810046	0.175746707189954
32	l	0.830514598842473	0.169485401157527
33	l	0.836652195284994	0.163347804715006
34	l	0.842626481995101	0.157373518004899
35	l	0.848408108472375	0.151591891527625
36	l	0.853976443008595	0.146023556991405
37	l	0.859318109369917	0.140681890630083
38	l	0.864425646797251	0.135574353202749
39	l	0.86929632195688	0.13070367804312
40	l	0.873931102164775	0.126068897835226
0	i	0.997589824011902	0.00241017598809846
1	i	0.99767242449343	0.00232757550657026
2	i	0.997750304837059	0.00224969516294127
3	i	0.997823710369301	0.00217628963069955
4	i	0.997892876226016	0.00210712377398361
5	i	0.997958027563578	0.00204197243642191
6	i	0.998019379782327	0.00198062021767329
7	i	0.998077138760921	0.00192286123907914
8	i	0.998131501100176	0.00186849889982428
9	i	0.99818265437502	0.00181734562498006
10	i	0.99823077739323	0.00176922260677045
11	i	0.998276040459638	0.0017239595403618
12	i	0.998318605644571	0.00168139435542863
13	i	0.998358627055305	0.00164137294469484
14	i	0.99839625110941	0.00160374889059026
15	i	0.9984316168089	0.00156838319109997
16	i	0.998464856014183	0.0015351439858173
17	i	0.998496093716857	0.00150390628314295
18	i	0.998525448310498	0.00147455168950249
19	i	0.998553031858616	0.00144696814138361
20	i	0.998578950359077	0.00142104964092336
21	i	0.998603304004295	0.0013966959957054
22	i	0.998626187436642	0.00137381256335781
23	i	0.998647689998526	0.0013523100014743
24	i	0.998667895976684	0.00133210402331629
25	i	0.99868688484031	0.00131311515969
26	i	0.998704731472668	0.00129526852733238
27	i	0.998721506395918	0.00127849360408244
28	i	0.99873727598894	0.00126272401106017
29	i	0.998752102697975	0.00124789730202474
30	i	0.998766045239964	0.00123395476003601
31	i	0.9987791587985	0.00122084120149963
32	i	0.998791495212364	0.00120850478763564
33	i	0.998803103156627	0.00119689684337344
34	i	0.998814028316357	0.00118597168364258
35	i	0.998824313553001	0.00117568644699849
36	i	0.998833999063505	0.0011660009364954
37	i	0.998843122532305	0.00115687746769471
38	i	0.998851719276324	0.00114828072367607
39	i	0.9988598223831	0.00114017761690042
40	i	0.998867462842241	0.00113253715775848
